ime,prezime,pol,pozivni_br,broj,fix_mob,tip,email,adresa,beleska
Karly,Kress,,+386,646883786,,Prijateljski,Karly.Kress@gmail.com,Kano,Zt DUycDYPM
Karlee,Yuille,Z,+386,633728815,,Prijateljski,Karlee.Yuille@gmail.com,Osaka,y
Katharina,Dash,M,+381,667477978,Mobilni,Ostali,Katharina.Dash@gmail.com,Guwahati,sAVpHOry
Kimberley,Heisel,,+385,600690745,Mobilni,Prijateljski,Kimberley.Heisel@gmail.com,Gangtok,rlcfX eBqdl
Trudie,Truc,Z,+381,640872589,Fiksni,,Trudie.Truc@gmail.com,Las Palmas de Gran Canaria,pmHdbV
Frank,Olin,,+386,661159429,Mobilni,Prijateljski,Frank.Olin@gmail.com,Road Town,oxw kNYcVUQj
Gwyneth,Winthorpe,Z,+386,621842469,,Poslovni,Gwyneth.Winthorpe@gmail.com,Maseru,WXyMW
Beatriz,Ade,,+385,691011028,Fiksni,Poslovni,Beatriz.Ade@gmail.com,Libreville,eQFbMB M
Lizzie,Seumas,M,+381,604719908,Fiksni,,Lizzie.Seumas@gmail.com,Rome,XFwwkkunDVN
Antonietta,Gregrory,M,+382,642713859,Mobilni,Ostali,Antonietta.Gregrory@gmail.com,Cayenne,Dqk
Vevay,Mata,,+385,665617729,Mobilni,,Vevay.Mata@gmail.com,Valparaíso,NQR WscPRob
Trixi,Dimitris,M,+382,631685441,,Ostali,Trixi.Dimitris@gmail.com,Tashkent,hnnmh
Kirstin,Gualtiero,Z,+385,682426147,Fiksni,Porodicni,Kirstin.Gualtiero@gmail.com,Doha,pWLtiuLznXHz
Michaelina,Herrera,M,+385,688780508,Mobilni,Porodicni,Michaelina.Herrera@gmail.com,Xi'an,WGahrNySzp
Libbie,Niccolo,,+385,699439120,Mobilni,Porodicni,Libbie.Niccolo@gmail.com,Jayapura,hRnMmp
Gratia,Publia,Z,+386,621375153,Mobilni,Prijateljski,Gratia.Publia@gmail.com,Koror,AbH
Laure,Pond,,+386,614293886,,Poslovni,Laure.Pond@gmail.com,Bergen,HpIWliY
Shannah,Moseley,,+381,628594603,,Poslovni,Shannah.Moseley@gmail.com,Makati City,kGh
Mathilda,Loeb,M,+382,675959801,Mobilni,Porodicni,Mathilda.Loeb@gmail.com,Hanover,aLg
Starla,Westphal,Z,+385,608807837,,Prijateljski,Starla.Westphal@gmail.com,Charlotte Amalie,OvmeQ fo
Damaris,Dielu,Z,,608983358,,Poslovni,Damaris.Dielu@gmail.com,Adelaide,JiP
Therine,Kristi,,+382,698248650,,Prijateljski,Therine.Kristi@gmail.com,Harare,o
Kittie,Rurik,Z,+386,665117367,Fiksni,Poslovni,Kittie.Rurik@gmail.com,Tel Aviv,WAA uxHJq
Peri,Peonir,Z,+385,658603612,Fiksni,,Peri.Peonir@gmail.com,Busan,CYAp
Alisha,Ephrem,M,+386,693812569,,Prijateljski,Alisha.Ephrem@gmail.com,Nassau,ifHitkefT
Nariko,Bonilla,M,+385,671700047,Mobilni,Poslovni,Nariko.Bonilla@gmail.com,Valdivia,xOEh
Heida,Taima,,+386,694652381,,,Heida.Taima@gmail.com,Santa Cruz de Tenerife,AEKtBoipKBmC
Mary,Lipson,Z,+386,694892227,Mobilni,Poslovni,Mary.Lipson@gmail.com,Moscow,APPN
Gaylene,Behre,,,645426993,,Prijateljski,Gaylene.Behre@gmail.com,Yangon,WT
Nelle,Corilla,,+386,644465851,,,Nelle.Corilla@gmail.com,Faisalabad,
Esmeralda,Shaddock,M,+386,615008519,Fiksni,Poslovni,Esmeralda.Shaddock@gmail.com,Yangon,S
Bertine,Jammal,Z,+386,617109443,Mobilni,Prijateljski,Bertine.Jammal@gmail.com,Chişinău,uEza
